from,to,weight
national_rifle_association,nra,144
nra,gun_control,52
nra,gun,88
nra,trump,59
president_trump,trump,86
walkout,student,59
new,time,58
new,video,60
new,gun,72
new,trump,57
new,help,51
new,state,51
president_donald_trump,trump,85
school_shoot,student,51
donald_trump,trump,55
american,gun,50
watch,video,51
life_matter,blue,99
news,report,51
news,shoot,53
lawmaker,gun,54
call,people,53
call,student,75
call,gun,57
call,trump,76
like,trump,53
twitter,david_hogg,52
twitter,trump,53
video,school,53
video,shoot,57
video,release,54
video,gun,52
shoot,people,65
shoot,dead,51
shoot,police,66
shoot,man,67
shoot,report,52
shoot,student,89
shoot,florida,93
shoot,high_school,57
shoot,kill,82
shoot,school,83
shoot,gun,57
report,police,53
report,trump,52
report,school,51
student,school,140
student,state,53
student,time,50
student,florida,63
student,high_school,78
student,kill,75
student,gun_control,77
student,march,54
student,gun,71
student,trump,58
student,people,67
student,teacher,82
student,protest,63
student,survivor,76
florida,people,52
florida,man,62
florida,gun,79
florida,state,66
florida,kill,51
bill,gun,51
law,gun,73
gun,people,83
gun,man,63
gun,police,57
gun,school,69
gun,time,59
gun,state,86
gun,trump,103
gun,ban,50
gun,gun_control,108
state,school,51
state,people,59
school,trump,59
school,people,53
president,trump,74
trump,people,72
trump,time,57
trump,help,51
people,kill,69
people,time,56
man,police,59
man,black,57
man,kill,50
police,kill,56
post,washington,59